Point 0: x = -4.37114e-008, y = 0, z = 1
Point 1: x = -3.93402e-008, y = 0, z = 0.9
Point 2: x = 0.309017, y = 0, z = 0.951056
Point 3: x = 0.278115, y = 0, z = 0.855951
Point 4: x = 0.587785, y = 0, z = 0.809017
Point 5: x = 0.529007, y = 0, z = 0.728115
Point 6: x = 0.809017, y = 0, z = 0.587785
Point 7: x = 0.728115, y = 0, z = 0.529007
Point 8: x = 0.951056, y = 0, z = 0.309017
Point 9: x = 0.855951, y = 0, z = 0.278115
Point 10: x = 1, y = 0, z = 0
Point 11: x = 0.9, y = 0, z = 0
Point 12: x = 0.951056, y = 0, z = -0.309017
Point 13: x = 0.855951, y = 0, z = -0.278115
Point 14: x = 0.809017, y = 0, z = -0.587785
Point 15: x = 0.728115, y = 0, z = -0.529006
Point 16: x = 0.587785, y = 0, z = -0.809017
Point 17: x = 0.529007, y = 0, z = -0.728115
Point 18: x = 0.309017, y = 0, z = -0.951056
Point 19: x = 0.278115, y = 0, z = -0.855951
Point 20: x = -4.37114e-008, y = 0, z = -1
Point 21: x = -3.93402e-008, y = 0, z = -0.9


Vertex 0: x = -4.37114e-008, y = 0, z = 1
Vertex 1: x = -3.93402e-008, y = 0, z = 0.9
Vertex 2: x = -3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 3: x = -3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 4: x = -4.1572e-008, y = -1.35076e-008, z = 1
Vertex 5: x = -4.37114e-008, y = 0, z = 1
Vertex 6: x = -3.93402e-008, y = 0, z = 0.9
Vertex 7: x = 0.309017, y = 0, z = 0.951056
Vertex 8: x = 0.293893, y = 0.0954915, z = 0.951056
Vertex 9: x = 0.293893, y = 0.0954915, z = 0.951056
Vertex 10: x = -3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 11: x = -3.93402e-008, y = 0, z = 0.9
Vertex 12: x = 0.309017, y = 0, z = 0.951056
Vertex 13: x = 0.278115, y = 0, z = 0.855951
Vertex 14: x = 0.264503, y = 0.0859423, z = 0.855951
Vertex 15: x = 0.264503, y = 0.0859423, z = 0.855951
Vertex 16: x = 0.293893, y = 0.0954915, z = 0.951056
Vertex 17: x = 0.309017, y = 0, z = 0.951056
Vertex 18: x = 0.278115, y = 0, z = 0.855951
Vertex 19: x = 0.587785, y = 0, z = 0.809017
Vertex 20: x = 0.559017, y = 0.181636, z = 0.809017
Vertex 21: x = 0.559017, y = 0.181636, z = 0.809017
Vertex 22: x = 0.264503, y = 0.0859423, z = 0.855951
Vertex 23: x = 0.278115, y = 0, z = 0.855951
Vertex 24: x = 0.587785, y = 0, z = 0.809017
Vertex 25: x = 0.529006, y = 0, z = 0.728115
Vertex 26: x = 0.503115, y = 0.163472, z = 0.728115
Vertex 27: x = 0.503115, y = 0.163472, z = 0.728115
Vertex 28: x = 0.559017, y = 0.181636, z = 0.809017
Vertex 29: x = 0.587785, y = 0, z = 0.809017
Vertex 30: x = 0.529006, y = 0, z = 0.728115
Vertex 31: x = 0.809017, y = 0, z = 0.587785
Vertex 32: x = 0.769421, y = 0.25, z = 0.587785
Vertex 33: x = 0.769421, y = 0.25, z = 0.587785
Vertex 34: x = 0.503115, y = 0.163472, z = 0.728115
Vertex 35: x = 0.529006, y = 0, z = 0.728115
Vertex 36: x = 0.809017, y = 0, z = 0.587785
Vertex 37: x = 0.728115, y = 0, z = 0.529007
Vertex 38: x = 0.692479, y = 0.225, z = 0.529007
Vertex 39: x = 0.692479, y = 0.225, z = 0.529007
Vertex 40: x = 0.769421, y = 0.25, z = 0.587785
Vertex 41: x = 0.809017, y = 0, z = 0.587785
Vertex 42: x = 0.728115, y = 0, z = 0.529007
Vertex 43: x = 0.951056, y = 0, z = 0.309017
Vertex 44: x = 0.904508, y = 0.293893, z = 0.309017
Vertex 45: x = 0.904508, y = 0.293893, z = 0.309017
Vertex 46: x = 0.692479, y = 0.225, z = 0.529007
Vertex 47: x = 0.728115, y = 0, z = 0.529007
Vertex 48: x = 0.951056, y = 0, z = 0.309017
Vertex 49: x = 0.855951, y = 0, z = 0.278115
Vertex 50: x = 0.814058, y = 0.264503, z = 0.278115
Vertex 51: x = 0.814058, y = 0.264503, z = 0.278115
Vertex 52: x = 0.904508, y = 0.293893, z = 0.309017
Vertex 53: x = 0.951056, y = 0, z = 0.309017
Vertex 54: x = 0.855951, y = 0, z = 0.278115
Vertex 55: x = 1, y = 0, z = 0
Vertex 56: x = 0.951056, y = 0.309017, z = 0
Vertex 57: x = 0.951056, y = 0.309017, z = 0
Vertex 58: x = 0.814058, y = 0.264503, z = 0.278115
Vertex 59: x = 0.855951, y = 0, z = 0.278115
Vertex 60: x = 1, y = 0, z = 0
Vertex 61: x = 0.9, y = 0, z = 0
Vertex 62: x = 0.855951, y = 0.278115, z = 0
Vertex 63: x = 0.855951, y = 0.278115, z = 0
Vertex 64: x = 0.951056, y = 0.309017, z = 0
Vertex 65: x = 1, y = 0, z = 0
Vertex 66: x = 0.9, y = 0, z = 0
Vertex 67: x = 0.951056, y = 0, z = -0.309017
Vertex 68: x = 0.904508, y = 0.293893, z = -0.309017
Vertex 69: x = 0.904508, y = 0.293893, z = -0.309017
Vertex 70: x = 0.855951, y = 0.278115, z = 0
Vertex 71: x = 0.9, y = 0, z = 0
Vertex 72: x = 0.951056, y = 0, z = -0.309017
Vertex 73: x = 0.855951, y = 0, z = -0.278115
Vertex 74: x = 0.814057, y = 0.264503, z = -0.278115
Vertex 75: x = 0.814057, y = 0.264503, z = -0.278115
Vertex 76: x = 0.904508, y = 0.293893, z = -0.309017
Vertex 77: x = 0.951056, y = 0, z = -0.309017
Vertex 78: x = 0.855951, y = 0, z = -0.278115
Vertex 79: x = 0.809017, y = 0, z = -0.587785
Vertex 80: x = 0.769421, y = 0.25, z = -0.587785
Vertex 81: x = 0.769421, y = 0.25, z = -0.587785
Vertex 82: x = 0.814057, y = 0.264503, z = -0.278115
Vertex 83: x = 0.855951, y = 0, z = -0.278115
Vertex 84: x = 0.809017, y = 0, z = -0.587785
Vertex 85: x = 0.728115, y = 0, z = -0.529006
Vertex 86: x = 0.692479, y = 0.225, z = -0.529006
Vertex 87: x = 0.692479, y = 0.225, z = -0.529006
Vertex 88: x = 0.769421, y = 0.25, z = -0.587785
Vertex 89: x = 0.809017, y = 0, z = -0.587785
Vertex 90: x = 0.728115, y = 0, z = -0.529006
Vertex 91: x = 0.587785, y = 0, z = -0.809017
Vertex 92: x = 0.559017, y = 0.181636, z = -0.809017
Vertex 93: x = 0.559017, y = 0.181636, z = -0.809017
Vertex 94: x = 0.692479, y = 0.225, z = -0.529006
Vertex 95: x = 0.728115, y = 0, z = -0.529006
Vertex 96: x = 0.587785, y = 0, z = -0.809017
Vertex 97: x = 0.529007, y = 0, z = -0.728115
Vertex 98: x = 0.503115, y = 0.163472, z = -0.728115
Vertex 99: x = 0.503115, y = 0.163472, z = -0.728115
Vertex 100: x = 0.559017, y = 0.181636, z = -0.809017
Vertex 101: x = 0.587785, y = 0, z = -0.809017
Vertex 102: x = 0.529007, y = 0, z = -0.728115
Vertex 103: x = 0.309017, y = 0, z = -0.951056
Vertex 104: x = 0.293893, y = 0.0954915, z = -0.951056
Vertex 105: x = 0.293893, y = 0.0954915, z = -0.951056
Vertex 106: x = 0.503115, y = 0.163472, z = -0.728115
Vertex 107: x = 0.529007, y = 0, z = -0.728115
Vertex 108: x = 0.309017, y = 0, z = -0.951056
Vertex 109: x = 0.278115, y = 0, z = -0.855951
Vertex 110: x = 0.264503, y = 0.0859424, z = -0.855951
Vertex 111: x = 0.264503, y = 0.0859424, z = -0.855951
Vertex 112: x = 0.293893, y = 0.0954915, z = -0.951056
Vertex 113: x = 0.309017, y = 0, z = -0.951056
Vertex 114: x = 0.278115, y = 0, z = -0.855951
Vertex 115: x = -4.37114e-008, y = 0, z = -1
Vertex 116: x = -4.1572e-008, y = -1.35076e-008, z = -1
Vertex 117: x = -4.1572e-008, y = -1.35076e-008, z = -1
Vertex 118: x = 0.264503, y = 0.0859424, z = -0.855951
Vertex 119: x = 0.278115, y = 0, z = -0.855951
Vertex 120: x = -4.37114e-008, y = 0, z = -1
Vertex 121: x = -3.93402e-008, y = 0, z = -0.9
Vertex 122: x = -3.74148e-008, y = -1.21568e-008, z = -0.9
Vertex 123: x = -3.74148e-008, y = -1.21568e-008, z = -0.9
Vertex 124: x = -4.1572e-008, y = -1.35076e-008, z = -1
Vertex 125: x = -4.37114e-008, y = 0, z = -1
Vertex 126: x = -4.37114e-008, y = 0, z = 1
Vertex 127: x = -4.37114e-008, y = 0, z = 1
Vertex 128: x = -3.93402e-008, y = 0, z = 0.9
Vertex 129: x = -4.37114e-008, y = 0, z = 1
Vertex 130: x = -3.93402e-008, y = 0, z = 0.9
Vertex 131: x = 0.309017, y = 0, z = 0.951056
Vertex 132: x = -4.37114e-008, y = 0, z = 1
Vertex 133: x = 0.309017, y = 0, z = 0.951056
Vertex 134: x = 0.278115, y = 0, z = 0.855951
Vertex 135: x = -4.37114e-008, y = 0, z = 1
Vertex 136: x = 0.278115, y = 0, z = 0.855951
Vertex 137: x = 0.587785, y = 0, z = 0.809017
Vertex 138: x = -4.37114e-008, y = 0, z = 1
Vertex 139: x = 0.587785, y = 0, z = 0.809017
Vertex 140: x = 0.529006, y = 0, z = 0.728115
Vertex 141: x = -4.37114e-008, y = 0, z = 1
Vertex 142: x = 0.529006, y = 0, z = 0.728115
Vertex 143: x = 0.809017, y = 0, z = 0.587785
Vertex 144: x = -4.37114e-008, y = 0, z = 1
Vertex 145: x = 0.809017, y = 0, z = 0.587785
Vertex 146: x = 0.728115, y = 0, z = 0.529007
Vertex 147: x = -4.37114e-008, y = 0, z = 1
Vertex 148: x = 0.728115, y = 0, z = 0.529007
Vertex 149: x = 0.951056, y = 0, z = 0.309017
Vertex 150: x = -4.37114e-008, y = 0, z = 1
Vertex 151: x = 0.951056, y = 0, z = 0.309017
Vertex 152: x = 0.855951, y = 0, z = 0.278115
Vertex 153: x = -4.37114e-008, y = 0, z = 1
Vertex 154: x = 0.855951, y = 0, z = 0.278115
Vertex 155: x = 1, y = 0, z = 0
Vertex 156: x = -4.37114e-008, y = 0, z = 1
Vertex 157: x = 1, y = 0, z = 0
Vertex 158: x = 0.9, y = 0, z = 0
Vertex 159: x = -4.37114e-008, y = 0, z = 1
Vertex 160: x = 0.9, y = 0, z = 0
Vertex 161: x = 0.951056, y = 0, z = -0.309017
Vertex 162: x = -4.37114e-008, y = 0, z = 1
Vertex 163: x = 0.951056, y = 0, z = -0.309017
Vertex 164: x = 0.855951, y = 0, z = -0.278115
Vertex 165: x = -4.37114e-008, y = 0, z = 1
Vertex 166: x = 0.855951, y = 0, z = -0.278115
Vertex 167: x = 0.809017, y = 0, z = -0.587785
Vertex 168: x = -4.37114e-008, y = 0, z = 1
Vertex 169: x = 0.809017, y = 0, z = -0.587785
Vertex 170: x = 0.728115, y = 0, z = -0.529006
Vertex 171: x = -4.37114e-008, y = 0, z = 1
Vertex 172: x = 0.728115, y = 0, z = -0.529006
Vertex 173: x = 0.587785, y = 0, z = -0.809017
Vertex 174: x = -4.37114e-008, y = 0, z = 1
Vertex 175: x = 0.587785, y = 0, z = -0.809017
Vertex 176: x = 0.529007, y = 0, z = -0.728115
Vertex 177: x = -4.37114e-008, y = 0, z = 1
Vertex 178: x = 0.529007, y = 0, z = -0.728115
Vertex 179: x = 0.309017, y = 0, z = -0.951056
Vertex 180: x = -4.37114e-008, y = 0, z = 1
Vertex 181: x = 0.309017, y = 0, z = -0.951056
Vertex 182: x = 0.278115, y = 0, z = -0.855951
Vertex 183: x = -4.37114e-008, y = 0, z = 1
Vertex 184: x = 0.278115, y = 0, z = -0.855951
Vertex 185: x = -4.37114e-008, y = 0, z = -1
Vertex 186: x = -4.37114e-008, y = 0, z = 1
Vertex 187: x = -4.37114e-008, y = 0, z = -1
Vertex 188: x = -3.93402e-008, y = 0, z = -0.9
Vertex 189: x = -4.1572e-008, y = -1.35076e-008, z = 1
Vertex 190: x = -3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 191: x = -3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 192: x = -3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 193: x = -3.53633e-008, y = -2.56929e-008, z = 1
Vertex 194: x = -4.1572e-008, y = -1.35076e-008, z = 1
Vertex 195: x = -3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 196: x = 0.293893, y = 0.0954915, z = 0.951056
Vertex 197: x = 0.25, y = 0.181636, z = 0.951056
Vertex 198: x = 0.25, y = 0.181636, z = 0.951056
Vertex 199: x = -3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 200: x = -3.74148e-008, y = -1.21568e-008, z = 0.9
Vertex 201: x = 0.293893, y = 0.0954915, z = 0.951056
Vertex 202: x = 0.264503, y = 0.0859423, z = 0.855951
Vertex 203: x = 0.225, y = 0.163472, z = 0.855951
Vertex 204: x = 0.225, y = 0.163472, z = 0.855951
Vertex 205: x = 0.25, y = 0.181636, z = 0.951056
Vertex 206: x = 0.293893, y = 0.0954915, z = 0.951056
Vertex 207: x = 0.264503, y = 0.0859423, z = 0.855951
Vertex 208: x = 0.559017, y = 0.181636, z = 0.809017
Vertex 209: x = 0.475528, y = 0.345491, z = 0.809017
Vertex 210: x = 0.475528, y = 0.345491, z = 0.809017
Vertex 211: x = 0.225, y = 0.163472, z = 0.855951
Vertex 212: x = 0.264503, y = 0.0859423, z = 0.855951
Vertex 213: x = 0.559017, y = 0.181636, z = 0.809017
Vertex 214: x = 0.503115, y = 0.163472, z = 0.728115
Vertex 215: x = 0.427975, y = 0.310942, z = 0.728115
Vertex 216: x = 0.427975, y = 0.310942, z = 0.728115
Vertex 217: x = 0.475528, y = 0.345491, z = 0.809017
Vertex 218: x = 0.559017, y = 0.181636, z = 0.809017
Vertex 219: x = 0.503115, y = 0.163472, z = 0.728115
Vertex 220: x = 0.769421, y = 0.25, z = 0.587785
Vertex 221: x = 0.654508, y = 0.475528, z = 0.587785
Vertex 222: x = 0.654508, y = 0.475528, z = 0.587785
Vertex 223: x = 0.427975, y = 0.310942, z = 0.728115
Vertex 224: x = 0.503115, y = 0.163472, z = 0.728115
Vertex 225: x = 0.769421, y = 0.25, z = 0.587785
Vertex 226: x = 0.692479, y = 0.225, z = 0.529007
Vertex 227: x = 0.589057, y = 0.427975, z = 0.529007
Vertex 228: x = 0.589057, y = 0.427975, z = 0.529007
Vertex 229: x = 0.654508, y = 0.475528, z = 0.587785
Vertex 230: x = 0.769421, y = 0.25, z = 0.587785
Vertex 231: x = 0.692479, y = 0.225, z = 0.529007
Vertex 232: x = 0.904508, y = 0.293893, z = 0.309017
Vertex 233: x = 0.769421, y = 0.559017, z = 0.309017
Vertex 234: x = 0.769421, y = 0.559017, z = 0.309017
Vertex 235: x = 0.589057, y = 0.427975, z = 0.529007
Vertex 236: x = 0.692479, y = 0.225, z = 0.529007
Vertex 237: x = 0.904508, y = 0.293893, z = 0.309017
Vertex 238: x = 0.814058, y = 0.264503, z = 0.278115
Vertex 239: x = 0.692479, y = 0.503115, z = 0.278115
Vertex 240: x = 0.692479, y = 0.503115, z = 0.278115
Vertex 241: x = 0.769421, y = 0.559017, z = 0.309017
Vertex 242: x = 0.904508, y = 0.293893, z = 0.309017
Vertex 243: x = 0.814058, y = 0.264503, z = 0.278115
Vertex 244: x = 0.951056, y = 0.309017, z = 0
Vertex 245: x = 0.809017, y = 0.587785, z = 0
Vertex 246: x = 0.809017, y = 0.587785, z = 0
Vertex 247: x = 0.692479, y = 0.503115, z = 0.278115
Vertex 248: x = 0.814058, y = 0.264503, z = 0.278115
Vertex 249: x = 0.951056, y = 0.309017, z = 0
Vertex 250: x = 0.855951, y = 0.278115, z = 0
Vertex 251: x = 0.728115, y = 0.529007, z = 0
Vertex 252: x = 0.728115, y = 0.529007, z = 0
Vertex 253: x = 0.809017, y = 0.587785, z = 0
Vertex 254: x = 0.951056, y = 0.309017, z = 0
Vertex 255: x = 0.855951, y = 0.278115, z = 0
